"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","595","@regression TC002 - Invalid credentials should show error","chromium","2026-04-21","passed","2026-04-21","Login Tests","login.spec.ts","",""
"","1127","@regression TC003 - Locked user login should fail","webkit","2026-04-21","passed","2026-04-21","Login Tests","login.spec.ts","",""
"","1119","@regression TC004 - Empty username validation","webkit","2026-04-21","passed","2026-04-21","Login Tests","login.spec.ts","",""
"","2090","@smoke TC001 - Successful login with valid credentials","firefox","2026-04-21","passed","2026-04-21","Login Tests","login.spec.ts","",""
"","608","@regression TC003 - Locked user login should fail","chromium","2026-04-21","passed","2026-04-21","Login Tests","login.spec.ts","",""
"","561","@regression TC004 - Empty username validation","chromium","2026-04-21","passed","2026-04-21","Login Tests","login.spec.ts","",""
"","1096","@regression TC003 - Locked user login should fail","firefox","2026-04-21","passed","2026-04-21","Login Tests","login.spec.ts","",""
"","3456","@smoke TC001 - Successful login with valid credentials","webkit","2026-04-21","passed","2026-04-21","Login Tests","login.spec.ts","",""
"","581","@regression TC005 - Empty password validation","chromium","2026-04-21","passed","2026-04-21","Login Tests","login.spec.ts","",""
"","1239","@regression TC002 - Invalid credentials should show error","webkit","2026-04-21","passed","2026-04-21","Login Tests","login.spec.ts","",""
"","1113","@regression TC002 - Invalid credentials should show error","firefox","2026-04-21","passed","2026-04-21","Login Tests","login.spec.ts","",""
"","791","@smoke TC001 - Successful login with valid credentials","chromium","2026-04-21","passed","2026-04-21","Login Tests","login.spec.ts","",""
"","987","@regression TC005 - Empty password validation","firefox","2026-04-21","passed","2026-04-21","Login Tests","login.spec.ts","",""
"","978","@regression TC004 - Empty username validation","firefox","2026-04-21","passed","2026-04-21","Login Tests","login.spec.ts","",""
"","1138","@regression TC005 - Empty password validation","webkit","2026-04-21","passed","2026-04-21","Login Tests","login.spec.ts","",""
